country,country_long,region,continent,latitude,longitude,rural_land,urban_land,population,rural_population,urban_population,democracy_score,democracy_type
Luxembourg,Grand Duchy of Luxembourg,Western Europe,Europe,49.75,6.16666666,2247.08,283.498,650774,52836,597938,8.81,Full democracy
Madagascar,Republic of Madagascar,Eastern Africa,Africa,-20.0,47.0,588613.0,1660.59,29611714,17801970,11809744,5.22,Hybrid regime
Malawi,Republic of Malawi,Eastern Africa,Africa,-13.5,34.0,93702.8,770.861,20405317,16736441,3668876,5.49,Hybrid regime
Malaysia,Malaysia,South-Eastern Asia,Asia,2.5,112.5,318198.0,11417.6,33938221,7393781,26544440,6.88,Flawed democracy
Maldives,Republic of Maldives,Southern Asia,Asia,3.25,73.0,259.654,14.3545,523787,306227,217560,0.0,Unknown
Mali,Republic of Mali,Western Africa,Africa,17.0,-4.0,1251580.0,1505.02,22593590,12327741,10265849,5.41,Hybrid regime
Malta,Republic of Malta,Southern Europe,Europe,35.83333333,14.58333333,150.897,173.523,523417,26825,496592,8.21,Full democracy
Marshall Islands,Republic of the Marshall Islands,Micronesia,Oceania,9.0,168.0,271.884,8.61805,41569,8929,32640,0.0,Unknown
Mauritania,Islamic Republic of Mauritania,Western Africa,Africa,20.0,-12.0,1045550.0,373.539,4736139,2040187,2695952,3.82,Authoritarian
Mauritius,Republic of Mauritius,Eastern Africa,Africa,-20.28333333,57.55,1523.76,475.804,1262523,747287,515236,8.22,Full democracy
Mexico,United Mexican States,Central America,Americas,23.0,-102.0,1920990.0,28588.1,127504125,23843271,103660854,6.19,Flawed democracy
Micronesia,Federated States of Micronesia,Micronesia,Oceania,6.91666666,158.25,757.746,7.5193,114164,87659,26505,0.0,Unknown
Moldova,Republic of Moldova,Eastern Europe,Europe,47.0,29.0,31803.7,1576.1,2592477,1473227,1119250,5.85,Hybrid regime
Monaco,Principality of Monaco,Western Europe,Europe,43.73333333,7.4,0.0349545,2.77653,36469,0,36469,0.0,Unknown
Mongolia,Mongolia,Eastern Asia,Asia,46.0,105.0,1549430.0,354.978,3398366,1055872,2342494,6.5,Flawed democracy
Montenegro,Montenegro,Southern Europe,Europe,42.5,19.3,13146.8,294.649,616159,196160,419999,5.74,Hybrid regime
Morocco,Kingdom of Morocco,Northern Africa,Africa,32.0,-5.0,409516.0,4621.35,37457971,13261620,24196351,4.99,Hybrid regime
Mozambique,Republic of Mozambique,Eastern Africa,Africa,-18.25,35.0,775002.0,2943.2,32969518,20379448,12590070,3.85,Authoritarian
Myanmar,Republic of the Union of Myanmar,South-Eastern Asia,Asia,22.0,98.0,660980.0,5783.53,54179306,36965999,17213307,3.83,Authoritarian
